;Bezeichnung;Executed-Ist;Kostenart;Plan;Planentwurf;Produktbereich;Profitcenter;Sign;Year
0;Produktbereichsübergreifend;17120310.0;11229101;0.0;0.0;00;100000000;plus;2008
1;Produktbereichsübergreifend;-17120310.0;10331802;0.0;0.0;00;100000000;minus;2008
2;PB01 Innere Verwaltung;-29597246.0;1134076848;0.0;0.0;01 Innere Verwaltung;100000100;minus;2008
3;PB01 Innere Verwaltung;29597244.0;1173624355;0.0;0.0;01 Innere Verwaltung;100000100;plus;2008
4;Int. Profil und Zielgruppenservice;-277294.3125;105632919;0.0;0.0;01 Innere Verwaltung;101000102;minus;2008
5;Int. Profil und Zielgruppenservice;2467570.75;-1765334709;0.0;0.0;01 Innere Verwaltung;101000102;plus;2008
6;Verwaltungsführung;-1137891.375;2074418049;0.0;0.0;01 Innere Verwaltung;102000103;minus;2008
7;Verwaltungsführung;4515318.0;-412709094;0.0;0.0;01 Innere Verwaltung;102000103;plus;2008
8;PB15 Wirtschaft und Tourismus;-223417.359375;810070001;0.0;0.0;15 Wirtschaft und Tourismus;103001500;minus;2008
9;PB15 Wirtschaft und Tourismus;223417.359375;810070001;0.0;0.0;15 Wirtschaft und Tourismus;103001500;plus;2008
10;Wirtschaftsförderung;-543209.625;206431361;0.0;0.0;15 Wirtschaft und Tourismus;103001501;minus;2008
11;Wirtschaftsförderung;2142060.5;-1545865193;0.0;0.0;15 Wirtschaft und Tourismus;103001501;plus;2008
12;Tourismus;-376517.6875;115642605;0.0;0.0;15 Wirtschaft und Tourismus;103001502;minus;2008
13;Tourismus;2083996.25;-1184573842;0.0;0.0;15 Wirtschaft und Tourismus;103001502;plus;2008
14;Beethovenhalle (BgA);-1031771.9375;115345279;0.0;0.0;15 Wirtschaft und Tourismus;103001503;minus;2008
15;Beethovenhalle (BgA);2449865.5;-2081253889;0.0;0.0;15 Wirtschaft und Tourismus;103001503;plus;2008
16;Gleichstellung von Frau und Mann;-170873.265625;1223466446;0.0;0.0;01 Innere Verwaltung;104000105;minus;2008
17;Gleichstellung von Frau und Mann;206895.96875;-362715015;0.0;0.0;01 Innere Verwaltung;104000105;plus;2008
18;PB01 Innere Verwaltung;-148386.921875;-1163931367;0.0;0.0;01 Innere Verwaltung;110000100;minus;2008
19;PB01 Innere Verwaltung;116966.039062;-1257931367;0.0;0.0;01 Innere Verwaltung;110000100;plus;2008
20;Politische Gremien;-15958.8398438;99945587;0.0;0.0;01 Innere Verwaltung;110000101;minus;2008
21;Politische Gremien;6140367.0;-1813485841;0.0;0.0;01 Innere Verwaltung;110000101;plus;2008
22;Beschäftigtenvertretung;-783105.6875;1415404494;0.0;0.0;01 Innere Verwaltung;110000106;minus;2008
23;Beschäftigtenvertretung;772277.125;504248229;0.0;0.0;01 Innere Verwaltung;110000106;plus;2008
24;Zentrale Dienste;-3925824.75;-1223799167;0.0;0.0;01 Innere Verwaltung;110000109;minus;2008
25;Zentrale Dienste;7945685.0;-1774435498;0.0;0.0;01 Innere Verwaltung;110000109;plus;2008
26;Personalmanagement;-32154902.0;630541510;0.0;0.0;01 Innere Verwaltung;110000117;minus;2008
27;Personalmanagement;37096988.0;-1688733579;0.0;0.0;01 Innere Verwaltung;110000117;plus;2008
28;Verwaltungsorganisation;-642155.375;1603404500;0.0;0.0;01 Innere Verwaltung;110000125;minus;2008
29;Verwaltungsorganisation;643100.1875;670719966;0.0;0.0;01 Innere Verwaltung;110000125;plus;2008
30;IT-Betrieb;-1231562.5;1429822754;0.0;0.0;01 Innere Verwaltung;110200126;minus;2008
31;IT-Betrieb;8572535.0;-1711283268;0.0;0.0;01 Innere Verwaltung;110200126;plus;2008
32;Bezirksverwaltungsstelle Bonn;719688.3125;1546642373;0.0;0.0;01 Innere Verwaltung;110660130;plus;2008
33;Bezirksverwaltungsstelle Bonn;-344180.3125;1233499255;0.0;0.0;01 Innere Verwaltung;110660130;minus;2008
34;Bezirksverwaltungsstelle Bad Godesberg;827897.0625;1848662156;0.0;0.0;01 Innere Verwaltung;110770131;plus;2008
35;Bezirksverwaltungsstelle Bad Godesberg;-224327.796875;1327054265;0.0;0.0;01 Innere Verwaltung;110770131;minus;2008
36;Bezirksverwaltungsstelle Beuel;-274739.125;1709886767;0.0;0.0;01 Innere Verwaltung;110880132;minus;2008
37;Bezirksverwaltungsstelle Beuel;750105.5625;-762468441;0.0;0.0;01 Innere Verwaltung;110880132;plus;2008
38;Bezirksverwaltungsstelle Hardtberg;-284809.9375;1424279508;0.0;0.0;01 Innere Verwaltung;110990133;minus;2008
39;Bezirksverwaltungsstelle Hardtberg;685673.0625;-1801315907;0.0;0.0;01 Innere Verwaltung;110990133;plus;2008
40;Presse- und Öffentlichkeitsarbeit;-238578.140625;385813547;0.0;0.0;01 Innere Verwaltung;113000114;minus;2008
41;Presse- und Öffentlichkeitsarbeit;2432975.5;-888390047;0.0;0.0;01 Innere Verwaltung;113000114;plus;2008
42;Rechnungsprüfung;-2318685.0;-1560889140;0.0;0.0;01 Innere Verwaltung;114000107;minus;2008
43;Rechnungsprüfung;2282315.0;1337123217;0.0;0.0;01 Innere Verwaltung;114000107;plus;2008
44;Finanzmanagement;3536657.75;-2072640247;0.0;0.0;01 Innere Verwaltung;120000120;plus;2008
45;Finanzmanagement;-1286982.375;1418302232;0.0;0.0;01 Innere Verwaltung;120000120;minus;2008
46;Kongresszentrum;-16001721.0;7597555;0.0;0.0;15 Wirtschaft und Tourismus;120001505;minus;2008
47;Kongresszentrum;15900514.0;257627241;0.0;0.0;15 Wirtschaft und Tourismus;120001505;plus;2008
48;Allgemeine Zuweisungen/Umlagen/Abgaben;-38369056.0;7506900;0.0;0.0;16 Allgemeine Finanzwirtschaft;120001605;minus;2008
49;Allgemeine Zuweisungen/Umlagen/Abgaben;80767424.0;10197920;0.0;0.0;16 Allgemeine Finanzwirtschaft;120001605;plus;2008
50;Gebäudemanagement (SGB);-61722656.0;6403092;0.0;0.0;01 Innere Verwaltung;120100129;minus;2008
51;Gebäudemanagement (SGB);107830144.0;8507950;0.0;0.0;01 Innere Verwaltung;120100129;plus;2008
52;Kreditwirtschaft;-12749020.0;10881900;0.0;0.0;16 Allgemeine Finanzwirtschaft;120101601;minus;2008
53;Kreditwirtschaft;36865244.0;117069703;0.0;0.0;16 Allgemeine Finanzwirtschaft;120101601;plus;2008
54;Anlage von Finanzmitteln;-354926.5625;2000440;0.0;0.0;16 Allgemeine Finanzwirtschaft;120101602;minus;2008
55;Anlage von Finanzmitteln;354926.5625;2000520;0.0;0.0;16 Allgemeine Finanzwirtschaft;120101602;plus;2008
56;Liquiditätsmanagement;16190453.0;15445800;0.0;0.0;16 Allgemeine Finanzwirtschaft;120101603;plus;2008
57;Liquiditätsmanagement;-11463.2099609;6461200;0.0;0.0;16 Allgemeine Finanzwirtschaft;120101603;minus;2008
58;Forderungsverwaltung;511622.71875;1667010;0.0;0.0;16 Allgemeine Finanzwirtschaft;120101604;plus;2008
59;Forderungsverwaltung;-45203.28125;5539800;0.0;0.0;16 Allgemeine Finanzwirtschaft;120101604;minus;2008
60;Wohnraumversorgung durch Unternehmen;-419694.4375;465100;0.0;0.0;10 Bauen und Wohnen;120201006;minus;2008
61;Anteile an Unternehmen;-294555.4375;2321900;0.0;0.0;15 Wirtschaft und Tourismus;120201510;minus;2008
62;Anteile an Unternehmen;9559374.0;3189000;0.0;0.0;15 Wirtschaft und Tourismus;120201510;plus;2008
63;PB01 Innere Verwaltung;42233.5703125;-599930766;0.0;0.0;01 Innere Verwaltung;121000100;plus;2008
64;PB01 Innere Verwaltung;-42233.5703125;-599930766;0.0;0.0;01 Innere Verwaltung;121000100;minus;2008
65;Finanzbuchhaltung;4326187.0;1460481255;0.0;0.0;01 Innere Verwaltung;121000121;plus;2008
66;Finanzbuchhaltung;-4834866.5;1336727319;0.0;0.0;01 Innere Verwaltung;121000121;minus;2008
67;Verw. von Steuern und Benutzungsgebühren;-1111450.75;1338396839;0.0;0.0;01 Innere Verwaltung;121000122;minus;2008
