;Profitcenter;Kostenart;Executed-Ist;Sign;Planentwurf;Plan;Produktbereich;Bezeichnung;Year
0;100000000;1039836915;101270.46875;plus;0.0;0.0;00;Produktbereichsübergreifend;2013
1;100000000;98367345;-101270.46875;minus;0.0;0.0;00;Produktbereichsübergreifend;2013
2;100000100;94000023;14400.3896484;plus;0.0;15414.2402344;01 Innere Verwaltung;PB01 Innere Verwaltung;2013
3;100000100;94000023;-14400.3896484;minus;0.0;-15414.2402344;01 Innere Verwaltung;PB01 Innere Verwaltung;2013
4;101000102;112626847;-1834102.125;minus;0.0;0.0;01 Innere Verwaltung;Int. Profil und Zielgruppenservice;2013
5;101000102;3897540;0.0;minus;-33340.6796875;-19438.4394531;01 Innere Verwaltung;Int. Profil und Zielgruppenservice;2013
6;101000102;1616488623;0.0;plus;0.0;1465558.25;01 Innere Verwaltung;Int. Profil und Zielgruppenservice;2013
7;101000102;1617031743;0.0;plus;1825342.625;0.0;01 Innere Verwaltung;Int. Profil und Zielgruppenservice;2013
8;101000102;-2147483648;2988030.75;plus;0.0;0.0;01 Innere Verwaltung;Int. Profil und Zielgruppenservice;2013
9;102000103;1895240414;0.0;plus;0.0;6279991.0;01 Innere Verwaltung;Verwaltungsführung;2013
10;102000103;1890486983;0.0;plus;6075871.5;0.0;01 Innere Verwaltung;Verwaltungsführung;2013
11;102000103;-2147483648;-1558607.5;minus;0.0;0.0;01 Innere Verwaltung;Verwaltungsführung;2013
12;102000103;-2147483648;6602463.5;plus;0.0;0.0;01 Innere Verwaltung;Verwaltungsführung;2013
13;102000103;847781660;0.0;minus;-1247595.375;-1407636.125;01 Innere Verwaltung;Verwaltungsführung;2013
14;102000118;1043200;-11333.4404297;minus;0.0;0.0;01 Innere Verwaltung;Politische Gremien;2013
15;102000118;1043200;11333.4404297;plus;0.0;0.0;01 Innere Verwaltung;Politische Gremien;2013
16;103001500;-2147483648;-133734.875;minus;0.0;0.0;15 Wirtschaft und Tourismus;PB15 Wirtschaft und Tourismus;2013
17;103001500;1222000443;0.0;plus;222821.625;223051.9375;15 Wirtschaft und Tourismus;PB15 Wirtschaft und Tourismus;2013
18;103001500;-2147483648;133734.875;plus;0.0;0.0;15 Wirtschaft und Tourismus;PB15 Wirtschaft und Tourismus;2013
19;103001500;1222000443;0.0;minus;-222821.625;-223051.9375;15 Wirtschaft und Tourismus;PB15 Wirtschaft und Tourismus;2013
20;103001501;306024057;-1017147.375;minus;0.0;0.0;15 Wirtschaft und Tourismus;Wirtschaftsförderung;2013
21;103001501;2610140;0.0;minus;-209483.125;-209737.40625;15 Wirtschaft und Tourismus;Wirtschaftsförderung;2013
22;103001501;1613957276;0.0;plus;2482882.0;2445469.75;15 Wirtschaft und Tourismus;Wirtschaftsförderung;2013
23;103001501;-2147483648;3152927.5;plus;0.0;0.0;15 Wirtschaft und Tourismus;Wirtschaftsförderung;2013
24;103001502;3059620;0.0;minus;-189553.0625;-189606.3125;15 Wirtschaft und Tourismus;Tourismus;2013
25;103001502;1521963860;0.0;plus;1856006.75;1830756.5;15 Wirtschaft und Tourismus;Tourismus;2013
26;103001502;-2147483648;2062970.0;plus;0.0;0.0;15 Wirtschaft und Tourismus;Tourismus;2013
27;103001502;405127110;-351839.75;minus;0.0;0.0;15 Wirtschaft und Tourismus;Tourismus;2013
28;104000105;189358543;0.0;minus;-268740.78125;-266753.875;01 Innere Verwaltung;Gleichstellung von Frau und Mann;2013
29;104000105;-2147483648;-316545.5;minus;0.0;0.0;01 Innere Verwaltung;Gleichstellung von Frau und Mann;2013
30;104000105;-2147483648;392192.625;plus;0.0;0.0;01 Innere Verwaltung;Gleichstellung von Frau und Mann;2013
31;104000105;1327010226;0.0;plus;338470.96875;335917.96875;01 Innere Verwaltung;Gleichstellung von Frau und Mann;2013
32;110000100;1034000291;0.0;minus;-76496.359375;-78075.2890625;01 Innere Verwaltung;PB01 Innere Verwaltung;2013
33;110000100;-2147483648;60990.3984375;plus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2013
34;110000100;-2147483648;-60990.3984375;minus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2013
35;110000100;1034000291;0.0;plus;76496.359375;78075.2890625;01 Innere Verwaltung;PB01 Innere Verwaltung;2013
36;110000101;-2147483648;7524271.5;plus;0.0;0.0;01 Innere Verwaltung;Politische Gremien;2013
37;110000101;1365130;0.0;minus;-15291.8408203;-15438.0;01 Innere Verwaltung;Politische Gremien;2013
38;110000101;1135210354;0.0;plus;7573316.5;7684029.0;01 Innere Verwaltung;Politische Gremien;2013
39;110000101;102331542;-12164.5400391;minus;0.0;0.0;01 Innere Verwaltung;Politische Gremien;2013
40;110000109;1435000973;0.0;plus;5881775.0;0.0;01 Innere Verwaltung;Zentrale Dienste;2013
41;110000109;1435506173;0.0;plus;0.0;5921228.5;01 Innere Verwaltung;Zentrale Dienste;2013
42;110000109;-2147483648;-3186864.25;minus;0.0;0.0;01 Innere Verwaltung;Zentrale Dienste;2013
43;110000109;757763878;0.0;minus;0.0;-2853999.0;01 Innere Verwaltung;Zentrale Dienste;2013
44;110000109;-2147483648;5883240.0;plus;0.0;0.0;01 Innere Verwaltung;Zentrale Dienste;2013
45;110000109;663763855;0.0;minus;-2818575.75;0.0;01 Innere Verwaltung;Zentrale Dienste;2013
46;110000123;1047106296;0.0;plus;0.0;3084223.5;01 Innere Verwaltung;Stabsstelle Fuhrparkmanagement;2013
47;110000123;-2147483648;3263828.5;plus;0.0;0.0;01 Innere Verwaltung;Stabsstelle Fuhrparkmanagement;2013
48;110000123;1045477904;0.0;plus;3171376.25;0.0;01 Innere Verwaltung;Stabsstelle Fuhrparkmanagement;2013
49;110000123;379125901;0.0;minus;0.0;-2721575.25;01 Innere Verwaltung;Stabsstelle Fuhrparkmanagement;2013
50;110000123;-2147483648;-3052119.25;minus;0.0;0.0;01 Innere Verwaltung;Stabsstelle Fuhrparkmanagement;2013
51;110000123;378684001;0.0;minus;-2584556.5;0.0;01 Innere Verwaltung;Stabsstelle Fuhrparkmanagement;2013
52;110000124;1617997653;-512418.625;minus;0.0;0.0;01 Innere Verwaltung;Verwaltungsorganisation u IT-Anwendungen;2013
53;110000124;-2147483648;5682524.5;plus;0.0;0.0;01 Innere Verwaltung;Verwaltungsorganisation u IT-Anwendungen;2013
54;110000124;1516672071;0.0;plus;5736834.5;0.0;01 Innere Verwaltung;Verwaltungsorganisation u IT-Anwendungen;2013
55;110000124;1517177271;0.0;plus;0.0;5669939.0;01 Innere Verwaltung;Verwaltungsorganisation u IT-Anwendungen;2013
56;110000124;192021360;0.0;minus;-5128659.5;-5130650.0;01 Innere Verwaltung;Verwaltungsorganisation u IT-Anwendungen;2013
57;110200126;312497707;-1188651.875;minus;0.0;0.0;01 Innere Verwaltung;IT-Betrieb;2013
58;110200126;1332450117;0.0;plus;6433116.0;0.0;01 Innere Verwaltung;IT-Betrieb;2013
59;110200126;1332955317;0.0;plus;0.0;6462283.0;01 Innere Verwaltung;IT-Betrieb;2013
60;110200126;97126455;0.0;minus;-6694238.5;-6694941.5;01 Innere Verwaltung;IT-Betrieb;2013
61;110200126;-2147483648;6686894.0;plus;0.0;0.0;01 Innere Verwaltung;IT-Betrieb;2013
62;110660130;-2147483648;735920.1875;plus;0.0;0.0;01 Innere Verwaltung;Bezirksverwaltungsstelle Bonn;2013
63;110660130;1515138612;-285985.96875;minus;0.0;0.0;01 Innere Verwaltung;Bezirksverwaltungsstelle Bonn;2013
64;110660130;97931045;0.0;minus;-249630.765625;-248714.21875;01 Innere Verwaltung;Bezirksverwaltungsstelle Bonn;2013
65;110660130;1704077000;0.0;plus;743247.5625;751231.875;01 Innere Verwaltung;Bezirksverwaltungsstelle Bonn;2013
66;110770131;97974045;0.0;minus;-260620.8125;-258765.4375;01 Innere Verwaltung;Bezirksverwaltungsstelle Bad Godesberg;2013
67;110770131;-2147483648;763165.1875;plus;0.0;0.0;01 Innere Verwaltung;Bezirksverwaltungsstelle Bad Godesberg;2013
68;110770131;1524439567;-305668.84375;minus;0.0;0.0;01 Innere Verwaltung;Bezirksverwaltungsstelle Bad Godesberg;2013
69;110770131;1708923447;0.0;plus;836685.75;835282.6875;01 Innere Verwaltung;Bezirksverwaltungsstelle Bad Godesberg;2013
70;110880132;-2147483648;793434.0;plus;0.0;0.0;01 Innere Verwaltung;Bezirksverwaltungsstelle Beuel;2013
71;110880132;97974345;0.0;minus;-274318.28125;-266624.1875;01 Innere Verwaltung;Bezirksverwaltungsstelle Beuel;2013
