;Profitcenter;Kostenart;Executed-Ist;Sign;Planentwurf;Plan;Produktbereich;Bezeichnung;Year
0;100000000;11229101;17120310.0;plus;0.0;0.0;00;Produktbereichsübergreifend;2008
1;100000000;10331802;-17120310.0;minus;0.0;0.0;00;Produktbereichsübergreifend;2008
2;100000100;1134076848;-29597246.0;minus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2008
3;100000100;1173624355;29597244.0;plus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2008
4;101000102;105632919;-277294.3125;minus;0.0;0.0;01 Innere Verwaltung;Int. Profil und Zielgruppenservice;2008
5;101000102;-1765334709;2467570.75;plus;0.0;0.0;01 Innere Verwaltung;Int. Profil und Zielgruppenservice;2008
6;102000103;2074418049;-1137891.375;minus;0.0;0.0;01 Innere Verwaltung;Verwaltungsführung;2008
7;102000103;-412709094;4515318.0;plus;0.0;0.0;01 Innere Verwaltung;Verwaltungsführung;2008
8;103001500;810070001;-223417.359375;minus;0.0;0.0;15 Wirtschaft und Tourismus;PB15 Wirtschaft und Tourismus;2008
9;103001500;810070001;223417.359375;plus;0.0;0.0;15 Wirtschaft und Tourismus;PB15 Wirtschaft und Tourismus;2008
10;103001501;206431361;-543209.625;minus;0.0;0.0;15 Wirtschaft und Tourismus;Wirtschaftsförderung;2008
11;103001501;-1545865193;2142060.5;plus;0.0;0.0;15 Wirtschaft und Tourismus;Wirtschaftsförderung;2008
12;103001502;115642605;-376517.6875;minus;0.0;0.0;15 Wirtschaft und Tourismus;Tourismus;2008
13;103001502;-1184573842;2083996.25;plus;0.0;0.0;15 Wirtschaft und Tourismus;Tourismus;2008
14;103001503;115345279;-1031771.9375;minus;0.0;0.0;15 Wirtschaft und Tourismus;Beethovenhalle (BgA);2008
15;103001503;-2081253889;2449865.5;plus;0.0;0.0;15 Wirtschaft und Tourismus;Beethovenhalle (BgA);2008
16;104000105;1223466446;-170873.265625;minus;0.0;0.0;01 Innere Verwaltung;Gleichstellung von Frau und Mann;2008
17;104000105;-362715015;206895.96875;plus;0.0;0.0;01 Innere Verwaltung;Gleichstellung von Frau und Mann;2008
18;110000100;-1163931367;-148386.921875;minus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2008
19;110000100;-1257931367;116966.039062;plus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2008
20;110000101;99945587;-15958.8398438;minus;0.0;0.0;01 Innere Verwaltung;Politische Gremien;2008
21;110000101;-1813485841;6140367.0;plus;0.0;0.0;01 Innere Verwaltung;Politische Gremien;2008
22;110000106;1415404494;-783105.6875;minus;0.0;0.0;01 Innere Verwaltung;Beschäftigtenvertretung;2008
23;110000106;504248229;772277.125;plus;0.0;0.0;01 Innere Verwaltung;Beschäftigtenvertretung;2008
24;110000109;-1223799167;-3925824.75;minus;0.0;0.0;01 Innere Verwaltung;Zentrale Dienste;2008
25;110000109;-1774435498;7945685.0;plus;0.0;0.0;01 Innere Verwaltung;Zentrale Dienste;2008
26;110000117;630541510;-32154902.0;minus;0.0;0.0;01 Innere Verwaltung;Personalmanagement;2008
27;110000117;-1688733579;37096988.0;plus;0.0;0.0;01 Innere Verwaltung;Personalmanagement;2008
28;110000125;1603404500;-642155.375;minus;0.0;0.0;01 Innere Verwaltung;Verwaltungsorganisation;2008
29;110000125;670719966;643100.1875;plus;0.0;0.0;01 Innere Verwaltung;Verwaltungsorganisation;2008
30;110200126;1429822754;-1231562.5;minus;0.0;0.0;01 Innere Verwaltung;IT-Betrieb;2008
31;110200126;-1711283268;8572535.0;plus;0.0;0.0;01 Innere Verwaltung;IT-Betrieb;2008
32;110660130;1546642373;719688.3125;plus;0.0;0.0;01 Innere Verwaltung;Bezirksverwaltungsstelle Bonn;2008
33;110660130;1233499255;-344180.3125;minus;0.0;0.0;01 Innere Verwaltung;Bezirksverwaltungsstelle Bonn;2008
34;110770131;1848662156;827897.0625;plus;0.0;0.0;01 Innere Verwaltung;Bezirksverwaltungsstelle Bad Godesberg;2008
35;110770131;1327054265;-224327.796875;minus;0.0;0.0;01 Innere Verwaltung;Bezirksverwaltungsstelle Bad Godesberg;2008
36;110880132;1709886767;-274739.125;minus;0.0;0.0;01 Innere Verwaltung;Bezirksverwaltungsstelle Beuel;2008
37;110880132;-762468441;750105.5625;plus;0.0;0.0;01 Innere Verwaltung;Bezirksverwaltungsstelle Beuel;2008
38;110990133;1424279508;-284809.9375;minus;0.0;0.0;01 Innere Verwaltung;Bezirksverwaltungsstelle Hardtberg;2008
39;110990133;-1801315907;685673.0625;plus;0.0;0.0;01 Innere Verwaltung;Bezirksverwaltungsstelle Hardtberg;2008
40;113000114;385813547;-238578.140625;minus;0.0;0.0;01 Innere Verwaltung;Presse- und Öffentlichkeitsarbeit;2008
41;113000114;-888390047;2432975.5;plus;0.0;0.0;01 Innere Verwaltung;Presse- und Öffentlichkeitsarbeit;2008
42;114000107;-1560889140;-2318685.0;minus;0.0;0.0;01 Innere Verwaltung;Rechnungsprüfung;2008
43;114000107;1337123217;2282315.0;plus;0.0;0.0;01 Innere Verwaltung;Rechnungsprüfung;2008
44;120000120;-2072640247;3536657.75;plus;0.0;0.0;01 Innere Verwaltung;Finanzmanagement;2008
45;120000120;1418302232;-1286982.375;minus;0.0;0.0;01 Innere Verwaltung;Finanzmanagement;2008
46;120001505;7597555;-16001721.0;minus;0.0;0.0;15 Wirtschaft und Tourismus;Kongresszentrum;2008
47;120001505;257627241;15900514.0;plus;0.0;0.0;15 Wirtschaft und Tourismus;Kongresszentrum;2008
48;120001605;7506900;-38369056.0;minus;0.0;0.0;16 Allgemeine Finanzwirtschaft;Allgemeine Zuweisungen/Umlagen/Abgaben;2008
49;120001605;10197920;80767424.0;plus;0.0;0.0;16 Allgemeine Finanzwirtschaft;Allgemeine Zuweisungen/Umlagen/Abgaben;2008
50;120100129;6403092;-61722656.0;minus;0.0;0.0;01 Innere Verwaltung;Gebäudemanagement (SGB);2008
51;120100129;8507950;107830144.0;plus;0.0;0.0;01 Innere Verwaltung;Gebäudemanagement (SGB);2008
52;120101601;10881900;-12749020.0;minus;0.0;0.0;16 Allgemeine Finanzwirtschaft;Kreditwirtschaft;2008
53;120101601;117069703;36865244.0;plus;0.0;0.0;16 Allgemeine Finanzwirtschaft;Kreditwirtschaft;2008
54;120101602;2000440;-354926.5625;minus;0.0;0.0;16 Allgemeine Finanzwirtschaft;Anlage von Finanzmitteln;2008
55;120101602;2000520;354926.5625;plus;0.0;0.0;16 Allgemeine Finanzwirtschaft;Anlage von Finanzmitteln;2008
56;120101603;15445800;16190453.0;plus;0.0;0.0;16 Allgemeine Finanzwirtschaft;Liquiditätsmanagement;2008
57;120101603;6461200;-11463.2099609;minus;0.0;0.0;16 Allgemeine Finanzwirtschaft;Liquiditätsmanagement;2008
58;120101604;1667010;511622.71875;plus;0.0;0.0;16 Allgemeine Finanzwirtschaft;Forderungsverwaltung;2008
59;120101604;5539800;-45203.28125;minus;0.0;0.0;16 Allgemeine Finanzwirtschaft;Forderungsverwaltung;2008
60;120201006;465100;-419694.4375;minus;0.0;0.0;10 Bauen und Wohnen;Wohnraumversorgung durch Unternehmen;2008
61;120201510;2321900;-294555.4375;minus;0.0;0.0;15 Wirtschaft und Tourismus;Anteile an Unternehmen;2008
62;120201510;3189000;9559374.0;plus;0.0;0.0;15 Wirtschaft und Tourismus;Anteile an Unternehmen;2008
63;121000100;-599930766;42233.5703125;plus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2008
64;121000100;-599930766;-42233.5703125;minus;0.0;0.0;01 Innere Verwaltung;PB01 Innere Verwaltung;2008
65;121000121;1460481255;4326187.0;plus;0.0;0.0;01 Innere Verwaltung;Finanzbuchhaltung;2008
66;121000121;1336727319;-4834866.5;minus;0.0;0.0;01 Innere Verwaltung;Finanzbuchhaltung;2008
67;121000122;1338396839;-1111450.75;minus;0.0;0.0;01 Innere Verwaltung;Verw. von Steuern und Benutzungsgebühren;2008
68;121000122;1259340848;2064570.875;plus;0.0;0.0;01 Innere Verwaltung;Verw. von Steuern und Benutzungsgebühren;2008
69;121201606;32577330;266413152.0;plus;0.0;0.0;16 Allgemeine Finanzwirtschaft;Steuern;2008
70;121201606;29473100;-645521600.0;minus;0.0;0.0;16 Allgemeine Finanzwirtschaft;Steuern;2008
71;123000000;1468070208;50567.9492188;plus;0.0;0.0;00;Produktbereichsübergreifend;2008
72;123000000;1562070208;-102577.5;minus;0.0;0.0;00;Produktbereichsübergreifend;2008
73;123000110;1714882268;718426.0;plus;0.0;0.0;01 Innere Verwaltung;Zentrale Vergabedienstleistungen;2008
74;123000110;100773978;-38179.4492188;minus;0.0;0.0;01 Innere Verwaltung;Zentrale Vergabedienstleistungen;2008
75;123000128;-885147544;12790962.0;plus;0.0;0.0;01 Innere Verwaltung;Liegenschaftsmanagement;2008
76;123000128;521729814;-16153490.0;minus;0.0;0.0;01 Innere Verwaltung;Liegenschaftsmanagement;2008
77;123000905;1712674776;147198.5625;plus;0.0;0.0;09 Räumliche Planung und Entwicklung, Geoinfo;Straßenrecht und Wettbewerbe;2008
78;123000905;98900368;-10596.5498047;minus;0.0;0.0;09 Räumliche Planung und Entwicklung, Geoinfo;Straßenrecht und Wettbewerbe;2008
79;123001004;1522309040;618812.8125;plus;0.0;0.0;10 Bauen und Wohnen;Wohnungsbauförderung;2008
80;123001004;104582668;-136376.375;minus;0.0;0.0;10 Bauen und Wohnen;Wohnungsbauförderung;2008
81;123001718;6068100;-153716.3125;minus;0.0;0.0;17 Stiftungen;Stiftung Julius Barthels;2008
82;123001718;5288000;153716.3125;plus;0.0;0.0;17 Stiftungen;Stiftung Julius Barthels;2008
83;130000000;716070147;34064.3007812;plus;0.0;0.0;00;Produktbereichsübergreifend;2008
84;130000000;716070147;-34064.3007812;minus;0.0;0.0;00;Produktbereichsübergreifend;2008
85;130000127;-1073947338;-3485783.5;minus;0.0;0.0;01 Innere Verwaltung;Recht;2008
86;130000127;2118271476;3650402.25;plus;0.0;0.0;01 Innere Verwaltung;Recht;2008
87;130000512;5401454;-1465.03991699;minus;0.0;0.0;05 Soziale Leistungen;Sozialversicherungsangelegenheiten;2008
88;130000512;765707700;66591.3515625;plus;0.0;0.0;05 Soziale Leistungen;Sozialversicherungsangelegenheiten;2008
89;130000513;8052175;-800510.0;minus;0.0;0.0;05 Soziale Leistungen;Lastenausgleich;2008
90;130000513;-1928466931;1168487.125;plus;0.0;0.0;05 Soziale Leistungen;Lastenausgleich;2008
91;133000200;1186070156;-927228.0;minus;0.0;0.0;02 Sicherheit und Ordnung;PB02 Sicherheit und Ordnung;2008
92;133000200;1092070156;818775.875;plus;0.0;0.0;02 Sicherheit und Ordnung;PB02 Sicherheit und Ordnung;2008
93;133000201;86997879;4090335.25;plus;0.0;0.0;02 Sicherheit und Ordnung;Allgemeine Sicherheit und Ordnung;2008
